Location,Backfill,Booster Pump System Installation,Concrete Formwork,Concrete Pour,Concrete Rebar,Conveyance,DWTR Installation,Electrical Yard Equipment Conduit,Electrical Yard Equipment Placement,Generator Placement,MWT Installation,Mechanical Yard Equipment Placement,Roofing Flashing,Roofing Insulation,Roofing Membrane,Roofing Metal Deck,Structural Piles,Structural Steel
DCH,,,,,,,,,,,,,Y,Y,Y,Y,,Y
EYD,,,,,,,,,,,,,,,,,,
MYD,y,,y,y,y,,,,,,Y,,,,,,,
Conveyance,Y,,Y,Y,Y,Y,,,,,,,,,,,,
DWTR,Y,,Y,Y,Y,,Y,,,,,,,,,,,
Fire Pump House,Y,Y,Y,Y,Y,,,,,,,,,,,,,
GPS,,,Y,Y,Y,,,,,,,,,,,,Y,
SSS,,,Y,Y,Y,,,,,,,,,,,,Y,
GEN YARD,Y,,Y,Y,Y,,,,,Y,,,,,,,,
USS YARD,Y,,Y,Y,Y,,,Y,Y,,,,,,,,,
MCP,Y,,Y,Y,Y,,,,,,,Y,,,,,,
Loading Dock,Y,,Y,Y,Y,,,,,,,,,,,,,
Booster Pump System,Y,Y,Y,Y,Y,,,,,,,,,,,,,