location,trade,state,start_date,complete_date,capture_date,building,level,percent_complete,quality_rating,rework_count,crew_size,supervisor_name,work_hours_today,area_sqft,last_activity_date,progress_notes
DCH-L1,Structural Steel,complete,2024-01-15,2024-02-10,2024-08-01,DCH,1,100,95,0,8,Smith,0,1200,2024-02-10,Passed final inspection
DCH-L1,Electrical,in-progress,2024-02-15,,2024-08-01,DCH,1,75,0,1,4,Johnson,8,1200,2024-07-30,Conduit installation ongoing
DCH-L1,Plumbing,not-started,,,2024-08-01,DCH,1,0,0,0,0,,0,1200,,Waiting for electrical rough-in
DCH-L2,Structural Steel,complete,2024-01-20,2024-02-15,2024-08-01,DCH,2,100,98,0,8,Smith,0,1200,2024-02-15,Excellent work quality
DCH-L2,Electrical,complete,2024-02-20,2024-03-10,2024-08-01,DCH,2,100,92,0,4,Johnson,0,1200,2024-03-10,Minor defects corrected
DCH-L2,Plumbing,complete,2024-03-15,2024-04-05,2024-08-01,DCH,2,100,90,1,3,Davis,0,1200,2024-04-05,One leak repair needed
DCH-L3,Structural Steel,in-progress,2024-01-25,,2024-08-01,DCH,3,60,0,0,6,Smith,7,1200,2024-07-28,Steel erection 60% complete
DCH-L3,Electrical,not-started,,,2024-08-01,DCH,3,0,0,0,0,,0,1200,,Awaiting structural completion
EYD-L1,Foundation,complete,2024-02-01,2024-02-25,2024-08-01,EYD,1,100,85,2,10,Wilson,0,2000,2024-02-25,Some surface defects noted
EYD-L1,Generator Install,in-progress,2024-03-01,,2024-08-01,EYD,1,45,0,0,6,Martinez,6,2000,2024-07-25,Generator positioned awaiting connections
EYD-L2,Foundation,not-started,,,2024-08-01,EYD,2,0,0,0,0,,0,2000,,Design review pending
MYD-L1,Structural Steel,complete,2024-01-10,2024-02-05,2024-08-01,MYD,1,100,88,1,8,Smith,0,1500,2024-02-05,Minor weld repair completed
MYD-L1,Mechanical Install,in-progress,2024-02-10,,2024-08-01,MYD,1,85,0,0,5,Thompson,8,1500,2024-07-29,Equipment installation proceeding well
MYD-L1,Electrical,behind-schedule,2024-02-15,,2024-08-01,MYD,1,30,0,2,4,Johnson,4,1500,2024-07-20,Multiple rework issues delaying progress
MYD-L2,Structural Steel,complete,2024-01-15,2024-01-20,2024-07-15,MYD,2,100,100,0,8,Smith,0,1500,2024-01-20,Perfect execution ahead of schedule
MYD-L2,Electrical,complete,2024-01-25,2024-01-30,2024-07-15,MYD,2,100,95,0,4,Johnson,0,1500,2024-01-30,High quality installation
OFC-L1,Drywall,in-progress,2024-03-01,,2024-08-01,OFC,1,20,0,0,6,Brown,5,1800,2024-07-15,Slow progress due to material delays
OFC-L1,Flooring,not-started,,,2024-08-01,OFC,1,0,0,0,0,,0,1800,,Waiting for drywall completion
OFC-L2,HVAC,in-progress,2024-02-15,,2024-08-01,OFC,2,90,0,0,4,Rodriguez,8,1800,2024-07-31,Ductwork nearly complete
OFC-L2,Electrical,abandoned,2024-02-20,,2024-08-01,OFC,2,10,0,3,0,Johnson,0,1800,2024-06-15,Work stopped due to design changes
WHS-L1,Steel Frame,complete,2024-01-05,2024-01-28,2024-08-01,WHS,1,100,92,1,12,Wilson,0,3000,2024-01-28,Large span completed successfully
WHS-L1,Roofing,in-progress,2024-02-01,,2024-08-01,WHS,1,70,0,0,8,Clark,8,3000,2024-08-01,Metal roofing installation ongoing
WHS-L2,Steel Frame,in-progress,2024-02-01,,2024-08-01,WHS,2,40,0,0,10,Wilson,7,3000,2024-07-29,Steady progress on upper level
PMP-L1,Concrete,complete,2024-01-01,2024-01-20,2024-08-01,PMP,1,100,87,1,15,Garcia,0,2500,2024-01-20,Foundation slab completed with minor crack
PMP-L1,Utilities,in-progress,2024-01-25,,2024-08-01,PMP,1,55,0,0,6,Lopez,6,2500,2024-07-27,Underground utilities installation