location,trade,state,start_date,complete_date,capture_date,building,level,planned_start_date,planned_complete_date,percent_complete,crew_size,quality_score,rework_count,budgeted_cost,actual_cost,labor_hours_planned,labor_hours_actual,prerequisite_trades,area_sqft,priority,supervisor,last_activity_date
DCH-L1,Structural Steel,complete,2024-01-15,2024-02-10,2024-08-01,DCH,1,2024-01-15,2024-02-05,100,8,95,0,45000,42000,240,220,none,1200,high,Smith,2024-02-10
DCH-L1,Electrical,in-progress,2024-02-15,,2024-08-01,DCH,1,2024-02-10,2024-03-05,75,4,0,1,25000,18000,150,135,Structural Steel,1200,high,Johnson,2024-07-30
DCH-L1,Plumbing,not-started,,,2024-08-01,DCH,1,2024-02-20,2024-03-15,0,0,0,0,18000,0,120,0,Structural Steel,1200,medium,Davis,
DCH-L2,Structural Steel,complete,2024-01-20,2024-02-15,2024-08-01,DCH,2,2024-01-20,2024-02-10,100,8,98,0,45000,44000,240,245,none,1200,high,Smith,2024-02-15
DCH-L2,Electrical,complete,2024-02-20,2024-03-10,2024-08-01,DCH,2,2024-02-15,2024-03-05,100,4,92,0,25000,26000,150,155,Structural Steel,1200,high,Johnson,2024-03-10
DCH-L2,Plumbing,complete,2024-03-15,2024-04-05,2024-08-01,DCH,2,2024-03-10,2024-04-01,100,3,90,1,18000,19500,120,130,Structural Steel,1200,medium,Davis,2024-04-05
DCH-L3,Structural Steel,in-progress,2024-01-25,,2024-08-01,DCH,3,2024-01-25,2024-02-20,60,6,0,0,45000,28000,240,160,none,1200,high,Smith,2024-07-28
EYD-L1,Foundation,complete,2024-02-01,2024-02-25,2024-08-01,EYD,1,2024-02-01,2024-02-20,100,10,85,2,55000,58000,300,315,none,2000,high,Wilson,2024-02-25
EYD-L1,Generator Install,in-progress,2024-03-01,,2024-08-01,EYD,1,2024-02-25,2024-03-20,45,6,0,0,75000,35000,200,95,Foundation,2000,high,Martinez,2024-07-25
MYD-L1,Structural Steel,complete,2024-01-10,2024-02-05,2024-08-01,MYD,1,2024-01-10,2024-02-01,100,8,88,1,45000,47000,240,250,none,1500,medium,Smith,2024-02-05
MYD-L1,Mechanical Install,in-progress,2024-01-05,,2024-08-01,MYD,1,2024-02-10,2024-03-15,85,5,0,0,65000,52000,180,165,Structural Steel,1500,high,Thompson,2024-07-29
MYD-L1,Electrical,behind-schedule,2024-01-08,,2024-08-01,MYD,1,2024-02-15,2024-03-10,30,4,0,2,25000,15000,150,85,Structural Steel,1500,medium,Johnson,2024-07-20
MYD-L2,Structural Steel,complete,2024-01-15,2024-01-20,2024-07-15,MYD,2,2024-01-15,2024-02-05,100,8,100,0,45000,41000,240,230,none,1500,medium,Smith,2024-01-20
MYD-L2,Electrical,complete,2024-01-25,2024-01-30,2024-07-15,MYD,2,2024-02-10,2024-03-05,100,4,95,0,25000,23000,150,140,Structural Steel,1500,medium,Johnson,2024-01-30
OFC-L1,Drywall,in-progress,2024-03-01,,2024-08-01,OFC,1,2024-03-01,2024-03-25,20,6,0,0,32000,8000,160,45,Electrical,1800,low,Brown,2024-07-15
OFC-L1,Flooring,not-started,,,2024-08-01,OFC,1,2024-03-20,2024-04-10,0,0,0,0,28000,0,140,0,Drywall,1800,low,Garcia,
OFC-L2,HVAC,in-progress,2024-02-15,,2024-08-01,OFC,2,2024-02-15,2024-03-20,90,4,0,0,45000,42000,200,185,Structural Steel,1800,high,Rodriguez,2024-07-31
OFC-L2,Electrical,abandoned,2024-02-20,,2024-08-01,OFC,2,2024-02-20,2024-03-15,10,0,0,3,25000,5000,150,25,Structural Steel,1800,medium,Johnson,2024-06-15