ID,Location_Name,Actualised_Activity_Name,Scheduled Start Date,Scheduled End Date,Detected Start Date,Detected End Date
,RACK 11-12,Set Cooling Modules,,,2025/08/09,2025/09/13
,RACK 11-12,Install PNMs,,,2025/09/06,2025/09/13
,,,,,,
,,,,,,
,RACK 13-14,Drill & Epoxy Anchor Bolts,,,2025/08/09,2025/08/14
,RACK 13-14,Set Legs,,,2025/08/09,2025/08/14
,RACK 13-14,Set Cooling Modules,,,2025/08/14,2025/10/13
,RACK 13-14,Install PNMs,,,2025/09/06,2025/09/13
,,,,,,
,,,,,,
,,,,,,
,RACK 15-16,Set Cooling Modules,,,2025/08/14,2025/08/21
,RACK 15-16,Install ASPs,,,2025/08/27,2025/11/01
,,,,,,
,,,,,2025/09/13,2025/11/01
,RACK 17-18,Install ASPs,,,2025/09/13,2025/09/20
,RACK 17-18,Install PNMs,,,,
,,,,,,
,,,,,,
,RACK 19-20,Set Cooling Modules,,,2025/08/21,2025/09/03
,RACK 19-20,Install ASPs,,,2025/09/13,2025/11/06
,RACK 19-20,Install PNMs,,,2025/09/13,2025/09/20
,,,,,,
,,,,,,
,RACK 21-22,Install ASPs,,,2025/09/06,2025/11/01
,RACK 21-22,Install PNMs,,,2025/09/20,2025/09/25
,,,,,,
,,,,,,
,RACK 23-24,Set Legs,,,2025/08/21,2025/09/03
,RACK 23-24,Install ASPs,,,2025/09/06,2025/10/25
,RACK 23-24,Install PNMs,,,2025/09/20,2025/09/25
,,,,,,
,,,,,,
,RACK 25-26,Install ASPs,,,2025/09/20,2025/10/25
,RACK 25-26,Install PNMs,,,2025/09/25,2025/10/02
,,,,,,
,,,,,,
,RACK 27-28,Install ASPs,,,2025/09/20,2025/10/25
,RACK 27-28,Install PNMs,,,2025/09/25,2025/10/02
,,,,,,
,,,,,,
,RACK 29-30,Install ASPs,,,2025/09/20,2025/11/06
,RACK 29-30,Set Cooling Modules,,,2025/09/20,2025/10/02
,,,,,,
,,,,,,
,RACK 3-4,Install ASPs,,,2025/08/14,2025/10/25
,RACK 3-4,Install PNMs,,,2025/08/21,2025/08/27
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RACK 33-34,Install ASPs,,,2025/09/20,2025/09/25
,RACK 33-34,Install PNMs,,,2025/10/08,2025/10/13
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RACK 37-38,Set Cooling Modules,,,2025/10/13,2025/10/22
,RACK 37-38,Install PNMs,,,2025/10/15,2025/10/22
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RACK 5-6,Set Legs,,,2025/07/26,2025/08/06
,,Install ASPs,,,2025/08/14,2025/11/01
,,Install PNMs,,,2025/08/27,2025/09/03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RACK 7-8,Set Cooling Modules,,,2025/07/26,2025/10/15
,,Install ASPs,,,2025/08/21,2025/11/01
,,Install PNMs,,,2025/08/27,2025/09/03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,RACK 9-10,Install ASPs,,,2025/08/21,2025/11/06
,,Install PNMs,,,2025/08/27,2025/09/06
,,,,,,
,,,,,,
,ROW 2-3,Set Cooling Modules,,,2025/07/26,2025/08/06
,,Install ASPs,,,2025/08/06,2025/10/25
,,Install PNMs,,,2025/08/21,2025/08/27